Obs,experiment,year,treatment,plot,subplot_id,id,sampling,height_25,height_46,height_67
431,DN14,2014,sparse,32,32015,RIL_148,unknown,7.78921932621909,33.1808968789565,37.3819999654577
432,DN14,2014,sparse,32,32017,RIL_002,unknown,9.20356008405745,44.4385282216477,44.5654620018781
433,DN14,2014,sparse,32,32018,RIL_040,unknown,11.162010247216,54.6488106815642,52.0281327507334
434,DN14,2014,sparse,32,32019,A10,unknown,7.80436476228835,16.0016399192408,NA
435,DN14,2014,sparse,32,32020,RIL_157,unknown,8.45021434965056,35.4551704811534,39.5093626231171
436,DN14,2014,sparse,32,32021,B100,unknown,6.52903470829544,46.4245757585639,54.4577133197578
437,DN14,2014,sparse,32,32022,RIL_102,unknown,6.7969014274282,32.8067763916078,36.715093741456
438,DN14,2014,sparse,32,32023,RIL_050,unknown,10.6557320641386,45.5978974637002,43.3847346327968
439,DN14,2014,sparse,32,32024,RIL_017,unknown,9.06668509436139,42.777716979162,48.9440785722084
440,DN14,2014,sparse,32,32025,RIL_051,unknown,13.456079725506,56.126631672788,59.0181733966078
441,DN14,2014,sparse,32,32026,RIL_074,unknown,7.21677606658961,34.1026223542455,37.7682632198319
442,DN14,2014,sparse,32,32027,RIL_001,unknown,11.0072934068618,53.5743103126237,53.8477503883696
443,DN14,2014,sparse,32,32028,RIL_136,unknown,7.39553032148094,28.232775806647,29.9294196989148
444,DN14,2014,sparse,32,32029,RIL_213,unknown,9.0709811846538,56.9594091808444,64.6082646416705
445,DN14,2014,sparse,32,32030,RIL_047,unknown,7.9801166615287,33.5047752846777,36.0585695139148
446,DN14,2014,sparse,32,32031,RIL_016,unknown,7.29103653008727,37.0990006676502,39.0353874321188
447,DN14,2014,sparse,32,32032,A10,unknown,7.80436476228835,16.0016399192408,NA
448,DN14,2014,sparse,32,32033,RIL_221,unknown,6.60410461853188,37.8780060676251,39.0564248780076
449,DN14,2014,sparse,32,32034,RIL_089,unknown,9.66936133240722,46.3970634029482,49.8013978820057
450,DN14,2014,sparse,32,32035,RIL_140,unknown,8.63491577160136,38.2753509656917,42.6723628389278
451,DN14,2014,sparse,32,32036,RIL_156,unknown,5.67200462923367,35.2236362538627,37.5769936527722
452,DN14,2014,sparse,32,32037,RIL_189,unknown,12.4194859448142,47.997443930213,53.4921444558504
453,DN14,2014,sparse,32,32038,RIL_135,unknown,5.96676277447381,28.1784546308987,28.9334120656644
454,DN14,2014,sparse,32,32039,RIL_062,unknown,10.0932836650414,45.0995193347115,48.7827024557198
455,DN14,2014,sparse,32,32040,RIL_044,unknown,8.41403385469509,43.0635723822009,47.1137119997691
456,DN14,2014,sparse,32,32041,RIL_150,unknown,6.53174362862093,30.015796042004,30.9883305830347
457,DN14,2014,sparse,32,32042,RIL_007,unknown,8.10270070040012,34.255397247897,33.1509731528584
458,DN14,2014,sparse,32,32043,RIL_076,unknown,8.76749467100499,43.2241549209241,45.3153761417851
459,DN14,2014,sparse,32,32044,RIL_098,unknown,10.3182132754204,40.4937714564179,40.9268525583138
460,DN14,2014,sparse,32,32045,RIL_058,unknown,7.16250532415639,44.1923939268897,41.2397705761602
461,DN14,2014,sparse,32,32046,RIL_142,unknown,7.71091116924867,35.6721046409769,39.0071125833064
462,DN14,2014,sparse,32,32048,RIL_205,unknown,8.47998303739091,31.6483677751186,33.7663372082944
463,DN14,2014,sparse,32,32049,RIL_052,unknown,6.82308706185145,42.7551430967465,44.6693865098824
464,DN14,2014,sparse,32,32050,RIL_162,unknown,7.16250532415639,20.0889879966047,23.1474115382202
465,DN14,2014,sparse,32,32051,RIL_117,unknown,7.57023688289952,29.9720777534813,34.1012708824781
466,DN14,2014,sparse,32,32052,RIL_104,unknown,6.46937749924219,41.9208336529678,50.0364535525817
467,DN14,2014,sparse,32,32053,RIL_005,unknown,5.31838065671325,25.323981363615,20.223662655755
468,DN14,2014,sparse,32,32054,RIL_184,unknown,6.36703192773457,32.4845960914855,36.2222654880644
469,DN14,2014,sparse,32,32055,RIL_110,unknown,10.4005691258636,39.6628582238371,40.8677386692646
470,DN14,2014,sparse,32,32056,B100,unknown,6.52903470829544,46.4245757585639,54.4577133197578
471,DN14,2014,sparse,32,32057,RIL_055,unknown,12.2669173243461,47.6260367711391,49.0580626925315
472,DN14,2014,sparse,32,32058,RIL_171,unknown,6.49151544019269,28.6527269417496,30.7037782731916
473,DN14,2014,sparse,32,32059,RIL_201,unknown,12.8412600575623,62.9524981474068,59.5573382607328
474,DN14,2014,sparse,32,32060,RIL_112,unknown,10.9832559923246,40.0600693066476,44.2494139500968
475,DN14,2014,sparse,32,32061,RIL_187,unknown,7.43765798349589,39.294847275961,40.4944524727689
476,DN14,2014,sparse,32,32062,RIL_164,unknown,11.3267219481023,34.15253209612,35.8204909789863
477,DN14,2014,sparse,32,32063,RIL_094,unknown,8.50638456567049,50.1983848553205,55.6510011654323
478,DN14,2014,sparse,32,32064,RIL_141,unknown,9.05479041076278,35.9172237130588,40.1125554807491
479,DN14,2014,sparse,32,32065,RIL_069,unknown,8.66300087961132,42.2168776896002,43.908036738872
480,DN14,2014,sparse,32,32066,RIL_067,unknown,11.1298774457332,42.6212135345595,47.9262678709961
481,DN14,2014,sparse,32,32067,RIL_127,unknown,6.06569363397182,36.9625239470648,40.8773867890401
482,DN14,2014,sparse,32,32068,RIL_030,unknown,5.72627537166689,34.6498950024327,36.8148191458859
483,DN14,2014,sparse,32,32069,B100,unknown,6.52903470829544,46.4245757585639,54.4577133197578
484,DN14,2014,sparse,32,32070,RIL_091,unknown,8.50448509208379,31.0488771970646,27.2999338614497
485,DN14,2014,sparse,32,32071,B100,unknown,6.52903470829544,46.4245757585639,54.4577133197578
486,DN14,2014,sparse,32,32072,RIL_078,unknown,6.83118244879696,31.1422365981711,33.0997361826483
487,DN14,2014,sparse,32,32073,RIL_093,unknown,6.11591668293228,28.8998764591836,34.409610049595
488,DN14,2014,sparse,32,32074,RIL_018,unknown,6.39916472921729,36.7768203675279,40.5200405255778
489,DN14,2014,sparse,32,32075,RIL_169,unknown,5.88693937908048,32.0154180974314,31.731908355483
490,DN14,2014,sparse,32,32076,RIL_203,unknown,5.96739575593696,33.7057618146047,36.3055631673285
491,DN14,2014,sparse,32,32077,RIL_034,unknown,6.40282866562372,36.7912733622333,40.6757084198886
492,DN14,2014,sparse,32,32078,B100,unknown,6.52903470829544,46.4245757585639,54.4577133197578
493,DN14,2014,sparse,32,32079,RIL_064,unknown,6.35703706720235,34.6407215915153,34.5928174778549
494,DN14,2014,sparse,32,32080,RIL_121,unknown,7.61856045827328,38.2617661209005,37.3650535781664
495,DN14,2014,sparse,32,32081,RIL_048,unknown,3.82994259158774,23.1502084591042,31.0156889613855
496,DN14,2014,sparse,32,32082,RIL_144,unknown,9.16118367574316,42.017589265272,43.0714505520025
497,DN14,2014,sparse,32,32083,RIL_029,unknown,10.2720379199327,57.684227220327,60.0861828683841
498,DN14,2014,sparse,32,32084,RIL_178,unknown,5.99738033753362,26.3706456944811,26.2947813355527
499,DN14,2014,sparse,32,32085,RIL_038,unknown,9.00051966832956,41.8671953601424,44.1216571552233
500,DN14,2014,sparse,32,32086,RIL_195,unknown,6.76476862594548,32.0259390707779,36.423304904084
501,DN14,2014,sparse,32,32087,RIL_197,unknown,6.64623228054683,34.3901758628835,36.2672123958059
502,DN14,2014,sparse,32,32088,RIL_220,unknown,9.21760263806241,45.6912568648067,46.2848192625674
503,DN14,2014,sparse,32,32089,RIL_199,unknown,8.95434431284185,45.2387093835718,47.7251067257921
504,DN14,2014,sparse,32,32090,RIL_149,unknown,11.9253508421551,37.9514725599705,41.2098171363917
505,DN14,2014,sparse,32,32091,RIL_170,unknown,12.9778866504387,71.8058210465416,69.9442306868863
506,DN14,2014,sparse,32,32092,RIL_043,unknown,8.10460017398682,47.9750362176741,53.5419771634665
507,DN14,2014,sparse,32,32093,B100,unknown,6.52903470829544,46.4245757585639,54.4577133197578
508,DN14,2014,sparse,32,32094,RIL_124,unknown,6.10554519988022,31.3835979054602,34.7648181737783
509,DN14,2014,sparse,32,32095,RIL_033,unknown,5.59369647226325,25.0747997318432,29.7926251809771
510,DN14,2014,sparse,32,32096,RIL_023,unknown,7.68282606123871,48.4873315312071,NA
511,DN14,2014,sparse,32,32097,RIL_179,unknown,9.13119909414649,46.3648175999857,45.3852698356308
512,DN14,2014,sparse,32,32098,RIL_081,unknown,7.23486631406734,50.5378785511849,53.4428304103599
513,DN14,2014,sparse,32,32099,RIL_072,unknown,5.26427307049054,37.6234187413973,37.8511330961613
514,DN14,2014,sparse,32,32100,RIL_216,unknown,7.25295656154508,29.9173423241008,32.5584794842345
515,DN14,2014,sparse,32,32101,RIL_101,unknown,9.9488104315188,50.187180999051,55.7848954235965
516,DN14,2014,sparse,32,32103,RIL_120,unknown,6.46962624554154,36.7931185405941,37.6535743420278
517,DN14,2014,sparse,32,32104,RIL_125,unknown,5.86694965801604,45.8043106501771,44.8955561811774
518,DN14,2014,sparse,32,32105,RIL_082,unknown,7.41362056895868,37.717557344158,37.8447821691005
519,DN14,2014,sparse,32,32106,RIL_219,unknown,8.88008384934419,31.2630980286131,34.970499055909
520,DN14,2014,sparse,32,32107,A10,unknown,7.80436476228835,16.0016399192408,NA
521,DN14,2014,sparse,32,32108,RIL_020,unknown,11.7023207053628,66.1556219870415,65.2950492581252
522,DN14,2014,sparse,32,32109,RIL_194,unknown,8.58684094252697,41.1415912781495,40.3974584185433
523,DN14,2014,sparse,32,32110,A10,unknown,7.80436476228835,16.0016399192408,NA
